year,kind,subject,url,local
2022,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r04/1j_seikai/2022dv2.pdf,sources/seikai/2022/D.pdf
2022,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r04/1j_seikai/2022e.pdf,sources/seikai/2022/E.pdf
2022,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r04/1j_seikai/2022fv2.pdf,sources/seikai/2022/F.pdf
2022,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r04/1j_seikai/2022g.pdf,sources/seikai/2022/G.pdf
2021,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021a.pdf,sources/seikai/2021/A.pdf
2021,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021b.pdf,sources/seikai/2021/B.pdf
2021,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021c.pdf,sources/seikai/2021/C.pdf
2021,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021d.pdf,sources/seikai/2021/D.pdf
2021,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021e.pdf,sources/seikai/2021/E.pdf
2021,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021f.pdf,sources/seikai/2021/F.pdf
2021,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r03/1j_seikai/2021g_teisei.pdf,sources/seikai/2021/G.pdf
2020,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020a.pdf,sources/seikai/2020/A.pdf
2020,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020b.pdf,sources/seikai/2020/B.pdf
2020,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020c.pdf,sources/seikai/2020/C.pdf
2020,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020d.pdf,sources/seikai/2020/D.pdf
2020,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020e.pdf,sources/seikai/2020/E.pdf
2020,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020f.pdf,sources/seikai/2020/F.pdf
2020,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/r02/1j_seikai/2020g.pdf,sources/seikai/2020/G.pdf
2019,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019a.pdf,sources/seikai/2019/A.pdf
2019,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019b.pdf,sources/seikai/2019/B.pdf
2019,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019c.pdf,sources/seikai/2019/C.pdf
2019,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019d.pdf,sources/seikai/2019/D.pdf
2019,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019e.pdf,sources/seikai/2019/E.pdf
2019,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019f.pdf,sources/seikai/2019/F.pdf
2019,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/h31/1j_seikai/2019g.pdf,sources/seikai/2019/G.pdf
2018,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/a2018.pdf,sources/seikai/2018/A.pdf
2018,1ji_seikai,B,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/b2018.pdf,sources/seikai/2018/B.pdf
2018,1ji_seikai,C,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/c2018.pdf,sources/seikai/2018/C.pdf
2018,1ji_seikai,D,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/d2018.pdf,sources/seikai/2018/D.pdf
2018,1ji_seikai,E,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/e2018.pdf,sources/seikai/2018/E.pdf
2018,1ji_seikai,F,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/f2018.pdf,sources/seikai/2018/F.pdf
2018,1ji_seikai,G,https://www.jf-cmca.jp/attach/test/h30/1j_seikai/g2018.pdf,sources/seikai/2018/G.pdf
2017,1ji_seikai,A,https://www.jf-cmca.jp/attach/test/h29/1j_seikai/a2017.pdf,sources/seikai/2017/A.pdf
